股票代码,股票名称,当前价,涨跌额,涨跌幅,年初至今,成交量,成交额,换手率,市盈率(TTM),股息率,市值
SH600502,安徽建工,5.87,-0.03,-0.51,46.35,52886747,310228349,3.07,8.863,4.259,10103210797
SZ300586,美联新材,19.98,0.96,5.05,46.27,15343710,307438203.03,3.95,44.905,0,10479253297
SZ301122,采纳股份,73,-1.5,-2.01,46.1,906674,66401995.2,3.86,40.602,0.479,6864563906
SH603665,康隆达,48.61,-0.88,-1.78,45.67,1724304,85790418,1.07,,0,7810804373
SH603569,长久物流,10.5,0.05,0.48,45.23,11653500,122205257,2.08,167.28,0,5883643112
SZ000498,山东路桥,8.85,-0.26,-2.85,45.12,24701055,219546481.95,1.69,5.784,1.412,13811016207
SH600617,国新能源,6.11,0.03,0.49,45.07,59821151,364405834,6.14,187.941,0.327,8419544110
SH688270,臻镭科技,89.31,-1.48,-1.63,45.06,619289,56547768,2.48,90.038,0.31,9753545100
SH605286,同力日升,43.1,-1.19,-2.69,44.69,3805297,168265486,7.93,51.71,0.278,7240800000
SH603668,天马科技,18.1,-0.57,-3.05,44.51,5262700,96582646,1.3,45.641,0.221,7894581541
SH603676,卫信康,13.18,-0.22,-1.64,44.34,8529390,112850237,1.99,39.41,1.216,5736384120
SZ300093,金刚玻璃,54.67,-0.13,-0.24,44.25,7624902,418900933.72,3.54,,0,11808720000
SZ300990,同飞股份,101.24,4.53,4.68,44.24,1545525,153983587.33,6.6,92.077,0.549,9476064000
SH600388,ST龙净,12.43,0.07,0.57,44.2,5141874,63993778,0.48,15.856,4.022,13288867643
SH600220,江苏阳光,3.81,0.19,5.25,44.14,76424649,287318123,4.29,42.604,0.525,6794526642
SZ002729,好利科技,47.93,-0.47,-0.97,43.96,740655,35710020.16,0.59,211.69,0.06,6264105904
SH688596,正帆科技,36.92,1.72,4.89,43.91,8851698,328582827,4.36,56.686,0.364,9469980000
SZ301117,佳缘科技,66.78,2.45,3.81,43.82,1921038,124647912.3,9.15,64.63,0.599,6161343174
SH600551,时代出版,11.26,-0.33,-2.85,43.58,2738505,31054904,0.57,20.231,1.456,5453501425
SH688119,中钢洛耐,7.26,-0.06,-0.82,43.48,2620944,19030094,1.75,39.444,0,8167500000
SZ300401,花园生物,20.32,-0.47,-2.26,43.34,13426196,273410856.71,2.48,20.685,0.925,11196473558
SZ002090,金智科技,13.5,-0.11,-0.81,42.94,33522594,454783198.9,8.39,46.806,0.185,5457576636
SH600537,亿晶光电,6.75,0.11,1.66,42.71,95288366,646569626,8.1,,0,8051800059
SZ002580,圣阳股份,11.65,0.35,3.1,42.42,70281289,816007944.51,22.35,82.39,0,5287573768
SZ002323,雅博股份,4.24,-0.08,-1.85,42.29,23634795,100625114.8,1.11,,0,8992425802
SZ300833,浩洋股份,114.18,1.44,1.28,42.22,450000,51257260,2.13,34.701,0.701,9628456860
SH600063,皖维高新,8.59,0.03,0.35,42.12,51101992,438959154,2.65,11.313,1.164,16543435404
SH688371,菲沃泰,26.27,-0.72,-2.67,41.69,3597940,95621242,4.83,207.233,,8812858792
SH601886,江河集团,9.19,0.21,2.34,41.5,18548082,169784216,1.64,,1.108,10412288931
SH600403,大有能源,5.59,-0.06,-1.06,41.49,25748000,143865707,1.08,7.105,6.261,13364641327
SH688196,卓越新能,80.84,3.34,4.31,41.04,1906418,153048232,6.35,19.269,1.423,9700800000
SZ002838,道恩股份,23.05,-0.13,-0.56,40.98,3853132,88998816.44,1.1,49.404,0.219,10301271213
SH600230,沧州大化,19.97,-0.67,-3.25,40.73,32212251,650110062,7.82,40.81,0.3,8354565366
SH600586,金晶科技,12.53,0.89,7.65,40.67,181658436,2235201151,12.71,20.118,2.243,17902488100
SZ002943,宇晶股份,78.1,-0.43,-0.55,39.59,9651164,756612759.72,14.13,258.291,0,7810000000
SZ002911,佛燃能源,14.9,-0.17,-1.13,39.58,26228066,388545453.77,2.78,23.391,3.02,14083480000
SZ300217,东方电热,7.84,0.36,4.81,39.37,55609860,431183079.99,4.69,41.173,0.255,11299138779
SH688212,澳华内镜,52.39,-0.61,-1.15,39.21,421128,22003175,1.47,131.955,0.363,6985682600
SZ002553,南方精工,14.6,0.59,4.21,39.14,48627722,702155219.07,20.68,26.623,1.37,5080800000
SH688237,超卓航科,57.28,3.38,6.27,38.79,1970713,109642813,10.96,70.212,0,5132477597
SH605060,联德股份,23.07,0.34,1.5,38.34,1138232,26346292,1.39,30.47,1.448,5536800000
SH600152,维科技术,11.37,0.47,4.31,38.32,68603412,771104901,13.98,,0,5968164870
SH603556,海兴电力,18.7,0.59,3.26,38.11,17931396,334464747,3.67,20.127,1.604,9138391548
SH600361,华联综超,7.91,0.11,1.41,37.57,6668900,52188271,1,,0,5266540631
SZ000822,山东海化,9.51,-0.12,-1.25,37.52,33502700,319655454,3.74,8.403,0.526,8512324216
SH600971,恒源煤电,8.3,-0.03,-0.36,37.17,19732988,165016371,1.64,5.617,6.024,9960040537
SZ001283,豪鹏科技,71.46,-7.94,-10,36.92,7316195,537354136.08,36.58,25.136,,5716800000
SH603123,翠微股份,11.09,0.26,2.4,36.8,24839550,270926416,3.81,94.937,0.586,8857989615
SZ002667,鞍重股份,27.09,0.83,3.16,35.72,4501630,120729374,1.95,,0,6261365880
SZ002932,明德生物,65.41,-0.42,-0.64,35.66,3006483,197724369.59,2.95,2.843,5.371,10216585504
SZ301193,家联科技,42.81,1.99,4.88,35.38,1959236,82134046.25,6.87,43.638,0.467,5137200000
SH603566,普莱柯,29.67,-1.41,-4.54,35.29,8580665,255644257,2.67,59.323,0.674,9538786320
SZ002517,恺英网络,7.85,-0.31,-3.8,34.88,115588572,929614717.76,7.04,18.228,0,16897263427
SH600389,江山股份,55.4,-1.75,-3.06,34.73,2998318,167280394,1.01,9.822,5.415,16917337340
SH601101,昊华能源,7.86,0.01,0.13,34.65,34197692,269676775,2.37,4.906,5.831,11318383698
SH600929,雪天盐业,9.79,0.07,0.72,34.24,9305168,90882240,0.89,18.181,1.872,14435163997
SH601789,宁波建工,4.89,0.05,1.03,34.01,29983080,145662157,2.76,14.835,2.454,5314445105
