股票代码,股票名称,当前价,涨跌额,涨跌幅,年初至今,成交量,成交额,换手率,市盈率(TTM),股息率,市值
SH601898,中煤能源,10.82,0.76,7.55,77.82,65134392,690057443,0.71,7.522,2.782,143458737988
SZ002543,万和电气,12.8,0.5,4.07,77.36,76394405,977876129.39,12.11,28.596,2.578,9518080000
SH688238,和元生物,23.42,-1.01,-4.13,77.02,2446979,57907948,3.55,196.312,0,11550486380
SH603728,鸣志电器,41.6,-2.32,-5.28,76.28,9896800,419326147,2.37,79.03,0.24,17478864000
SH600353,旭光电子,12.98,0.43,3.43,76.12,10933700,140331672,2.01,110.137,0,7057485600
SH600084,中葡股份,7.04,-0.22,-3.03,76,9311199,65844218,0.83,1330.194,0,7911036883
SZ002805,丰元股份,55.46,0.78,1.43,75.87,15059309,842655658.35,11.37,79.062,0.054,9868120089
SZ300125,聆达股份,29.19,0.48,1.67,75.63,19238721,563399940.08,7.3,,0,7749944854
SH603800,道森股份,36.95,0.87,2.41,75.37,3844200,145103775,1.85,435.294,0,7685600000
SZ300438,鹏辉能源,82.2,2.17,2.71,74.18,10153916,833109207.05,2.83,123.158,0.057,37918199605
SZ301162,国能日新,77.77,-1.68,-2.11,73.83,737700,58258955,4.39,85.934,0.579,5513319835
SH600123,兰花科创,15.58,0.99,6.79,73.79,65609613,1010720041,5.74,4.885,4.814,17798592000
SH900953,凯马B,0.587,-0.006,-1.01,73.16,1487009,868450,0.62,,0,375680000
SH688560,明冠新材,59.35,2.02,3.52,72.92,5162475,303619033,5.85,60.173,0.421,9738607132
SH601666,平煤股份,13.78,0.62,4.71,72.79,50449812,691762513,2.2,6.101,5.515,31903675860
SH688439,振华风光,115.35,-3.15,-2.66,72.19,5278477,602239137,12.34,99.736,,23070000000
SZ300820,英杰电气,102.47,7.27,7.64,72.02,3160363,319727126.7,6.96,71.153,0.324,14717138471
SZ002896,中大力德,30.9,-1.01,-3.17,70.82,24614547,768691667.3,16.36,67.281,0.671,4648705602
SH600348,华阳股份,19.53,0.34,1.77,70.79,69009440,1346748391,2.87,8.233,2.56,46969650000
SZ000983,山西焦煤,13.2,0.63,5.01,70.37,82626261,1082988442.54,2.02,6.831,6.061,54074592000
SH900913,国新B股,0.577,0.048,9.07,69.96,5299977,2979698,4.83,122.996,0.516,795102611
SH603938,三孚股份,44.23,-0.52,-1.16,68.89,3444828,153005193,1.26,20.395,0.278,12088201067
SH600938,中国海油,17.1,1.07,6.67,68.84,76514015,1287162372,5.13,7.482,5.889,814600497326
SH603868,飞科电器,72.06,-0.77,-1.06,68.53,752052,54072593,0.17,40.105,1.388,31389336000
SZ001318,阳光乳业,15.92,-0.32,-1.97,68.29,4333435,69149953.66,6.13,34.339,0,4499947200
SH603963,大理药业,14.84,-0.35,-2.3,67.87,5094733,75769415,2.32,,0,3260348000
SH603595,东尼电子,61.92,0.74,1.21,67.77,4461854,276191357,2.47,175.956,0.023,14392828826
SZ301229,纽泰格,33.82,-0.69,-2,67.27,1565200,52968511.78,7.83,79.561,0.296,2705600000
SZ002766,索菱股份,5.36,-0.05,-0.92,67.24,7068400,38147828,0.95,,0,4541035030
SZ002427,*ST尤夫,8.91,-0.01,-0.11,67.17,1680457,15047421.58,0.38,,0,3902313796
SH603069,海汽集团,24.3,-0.4,-1.62,67.13,7116455,172954926,2.25,,0,7678800000
SH603826,坤彩科技,63.95,5.29,9.02,67.06,3919170,249624745,0.84,262.69,0,29928600000
SZ000722,湖南发展,14.69,0.35,2.44,66.42,21021246,307319215.89,4.53,46.167,0.681,6818485163
SZ002329,皇氏集团,7.3,-0.18,-2.41,65.91,97369109,715864292.63,18.27,,0,6114772256
SZ300068,南都电源,23.48,0.35,1.51,65.82,70468722,1651078151.98,8.45,,0,20307168568
SH603237,五芳斋,56.79,-3.01,-5.03,65.47,17001138,981456781,67.5,43.981,,5721194970
SZ000868,安凯客车,6.64,0.43,6.92,64.76,99030135,639543288.81,13.5,,0,4869305676
SZ301238,瑞泰新材,31.58,0.2,0.64,64.65,4472295,140368039.9,3.09,24.915,0,23158665614
SZ000151,中成股份,13.92,0.48,3.57,63.57,49464434,677765891.03,18.56,130.025,0,4696200534
SZ002205,国统股份,13.26,0.68,5.41,63.23,55092560,720845125.19,29.64,,0.075,2464281203
SZ300481,濮阳惠成,38.24,1.84,5.05,61.53,17045268,647729601.32,5.83,32.292,1.045,11335519413
SZ301336,趣睡科技,60.57,-0.46,-0.75,61.39,1405474,85066170.98,14.05,40.118,0,2422800000
SH603757,大元泵业,28.84,2.62,9.99,61.35,15607708,439390329,9.43,27.804,1.214,4811567544
SZ301263,泰恩康,31.65,0.5,1.61,61.3,4318311,136085578.57,8.49,53.281,1.106,7481664375
SH603086,先达股份,14.03,-0.42,-2.91,61.27,5453607,77702180,1.77,13.794,1.273,4357899829
SZ301270,C汉仪,41.4,-1.78,-4.12,61.21,8450151,362084829.98,44.34,60.144,,4140000000
SZ301298,东利机械,20.43,-0.33,-1.59,61.12,1113125,22779969.34,3.19,59.281,1.468,2999124000
SH603227,雪峰科技,11.19,0.32,2.94,60.27,22670500,252550524,3.44,25.879,0.626,8107938300
SZ301130,西点药业,35.99,0.47,1.32,60.13,866487,30863892.34,4.29,58.546,0.361,2908133909
SH600083,博信股份,9.15,0.14,1.55,59.97,1857674,16926647,0.81,32.08,0,2104500000
SH600508,上海能源,17.87,0.64,3.71,59.75,30254261,539899076,4.19,8.722,0.867,12914970660
SH603955,大千生态,21.14,1.92,9.99,59.67,8630980,178712979,6.36,63.186,0,2869120800
SH600428,中远海特,7.96,0.19,2.45,59.58,164672041,1315501364,7.67,34.887,0.628,17087340137
SZ000899,赣能股份,9.45,-0.06,-0.63,59.36,21471639,204655084.42,2.2,,0,9220154832
SZ300345,华民股份,8.2,0.09,1.11,59.22,6314900,51544561,1.43,,0,3618622961
SZ002715,登云股份,20.27,0.02,0.1,59.11,1260700,25197162,0.91,,0,2797260000
SH688218,江苏北人,23.94,-0.5,-2.05,59.05,6028498,146595599,6.75,402.84,0.25,2818089918
SH600481,双良节能,15.99,0.33,2.11,58.95,22708993,363627936,1.4,53.322,0,29911873403
SZ301018,申菱环境,41.78,1.9,4.76,58.85,7520446,310675641.7,8.81,55.993,0.431,10027617800
SZ301004,嘉益股份,31.98,-1.61,-4.79,58.45,2810764,93479024.52,11.24,23.583,0.938,3198000000
